epoch,iter_in_epoch,global_step,loss
1,1,1,0.21448878943920135
1,2,2,0.19380545616149902
1,3,3,0.17492161691188812
1,4,4,0.15348336100578308
1,5,5,0.13255572319030762
1,6,6,0.11031191051006317
1,7,7,0.08213312923908234
1,8,8,0.06694453954696655
1,9,9,0.0395248681306839
1,10,10,0.01905159279704094
1,11,11,0.011148504912853241
1,12,12,0.006121983751654625
1,13,13,0.0029191055800765753
1,14,14,0.0010485219536349177
1,15,15,0.0003404566668905318
1,16,16,2.1830525398254395
1,17,17,0.00010930277494480833
1,18,18,4.4379441533237696e-05
1,19,19,2.600877285003662
1,20,20,1.654401421546936e-05
1,21,21,2.098355980706401e-05
1,22,22,9.87750718195457e-06
1,23,23,4.0897735743783414e-05
1,24,24,9.16288627195172e-06
1,25,25,6.593445505131967e-06
1,26,26,7.083071523084072e-06
1,27,27,1.5537370927631855e-05
1,28,28,3.278600615885807e-06
1,29,29,8.63266996020684e-06
1,30,30,2.9678087685169885e-06
1,31,31,2.7408805181039497e-06
1,32,32,2.5904746507876553e-06
1,33,33,7.960112270666286e-06
1,34,34,4.267420081305318e-06
1,35,35,9.32344664761331e-06
1,36,36,1.372160681967216e-06
1,37,37,1.6631487369522802e-06
1,38,38,1.5019870716059813e-06
1,39,39,2.0431316443136893e-06
1,40,40,4.680920028476976e-06
1,41,41,2.3443528789357515e-06
1,42,42,2.2359088234225055e-06
1,43,43,2.319408395123901e-06
1,44,44,3.1269244118448114e-06
1,45,45,2.100759729728452e-06
1,46,46,2.3009640699456213e-06
1,47,47,8.488312914778362e-07
1,48,48,5.956608220003545e-07
2,1,49,2.655681782925967e-06
2,2,50,2.1713340174756013e-06
2,3,51,1.4810416359978262e-06
2,4,52,3.049216957151657e-06
2,5,53,1.264204229300958e-06
2,6,54,1.0295296988260816e-06
2,7,55,1.4537911283696303e-06
2,8,56,4.5660567593586165e-06
2,9,57,1.2920665994897718e-06
2,10,58,7.397637773465249e-07
2,11,59,1.5071866528160172e-06
2,12,60,7.73161161760072e-07
2,13,61,3.3238980770111084
2,14,62,2.944404968729941e-06
2,15,63,9.879051958705531e-07
2,16,64,1.1160876056237612e-05
2,17,65,1.3785875125904568e-05
2,18,66,9.554556527291425e-06
2,19,67,4.741344582726015e-06
2,20,68,2.981754187203478e-05
2,21,69,3.08431735902559e-05
2,22,70,1.813668859540485e-05
2,23,71,2.5435772840864956e-05
2,24,72,6.311366450972855e-05
2,25,73,6.105105421738699e-05
2,26,74,4.411632107803598e-05
2,27,75,8.339446503669024e-05
2,28,76,4.016284583485685e-05
2,29,77,3.465431655058637e-05
2,30,78,3.820460551651195e-05
2,31,79,9.76830706349574e-05
2,32,80,5.7264234783360735e-05
2,33,81,6.301241228356957e-05
2,34,82,7.398996240226552e-05
2,35,83,8.642848115414381e-05
2,36,84,4.573874321067706e-05
2,37,85,9.390519699081779e-05
2,38,86,6.225973629625514e-05
2,39,87,2.289842128753662
2,40,88,0.00010960376675939187
2,41,89,0.000198676367290318
2,42,90,0.00011756881576729938
2,43,91,0.00029034187900833786
2,44,92,0.0002624595945235342
2,45,93,0.0003955860447604209
2,46,94,0.00048395019257441163
2,47,95,0.0004972424358129501
2,48,96,0.0008349386043846607
3,1,97,0.0004944957327097654
3,2,98,0.0007867286913096905
3,3,99,0.0008206115453504026
3,4,100,0.000809100572951138
3,5,101,0.0006379211554303765
3,6,102,0.000657114724162966
3,7,103,0.0008400495280511677
3,8,104,0.00047848536632955074
3,9,105,0.0011606302578002214
3,10,106,0.0005417155334725976
3,11,107,0.0008184484904631972
3,12,108,0.0005452330224215984
3,13,109,0.0008038573432713747
3,14,110,0.0007293473463505507
3,15,111,0.0003561153425835073
3,16,112,0.000348924397258088
3,17,113,0.0002961904392577708
3,18,114,0.0002818236534949392
3,19,115,0.00013834942365065217
